graph: 474, count: 27, tot checked: 4272048
graph: 475, count: 27, tot checked: 4272048
graph: 476, count: 27, tot checked: 4272048
graph: 477, count: 27, tot checked: 4272048
graph: 478, count: 27, tot checked: 4272048
graph: 479, count: 27, tot checked: 4272048
graph: 480, count: 2, tot checked: 4272048
graph: 481, count: 2, tot checked: 4272048
graph: 482, count: 27, tot checked: 4272048
graph: 483, count: 4, tot checked: 4272048
graph: 484, count: 4, tot checked: 4272048
graph: 485, count: 4, tot checked: 4272048
graph: 486, count: 4, tot checked: 4272048
graph: 487, count: 27, tot checked: 4272048
graph: 488, count: 27, tot checked: 4272048
graph: 489, count: 27, tot checked: 4272048
graph: 490, count: 27, tot checked: 4272048
graph: 491, count: 27, tot checked: 4272048
graph: 492, count: 27, tot checked: 4272048
graph: 493, count: 27, tot checked: 4272048
graph: 494, count: 27, tot checked: 4272048
graph: 495, count: 27, tot checked: 4272048
graph: 496, count: 27, tot checked: 4272048
graph: 497, count: 27, tot checked: 4272048
graph: 498, count: 27, tot checked: 4272048
graph: 499, count: 27, tot checked: 4272048
graph: 500, count: 27, tot checked: 4272048
graph: 501, count: 27, tot checked: 4272048
graph: 502, count: 27, tot checked: 4272048
graph: 503, count: 27, tot checked: 4272048
graph: 504, count: 27, tot checked: 4272048
graph: 505, count: 27, tot checked: 4272048
graph: 506, count: 27, tot checked: 4272048
graph: 507, count: 8, tot checked: 4272048
graph: 508, count: 8, tot checked: 4272048
graph: 509, count: 27, tot checked: 4272048
graph: 510, count: 27, tot checked: 4272048
graph: 511, count: 27, tot checked: 4272048
graph: 512, count: 27, tot checked: 4272048
graph: 513, count: 27, tot checked: 4272048
graph: 514, count: 27, tot checked: 4272048
graph: 515, count: 27, tot checked: 4272048
graph: 516, count: 27, tot checked: 4272048
graph: 517, count: 27, tot checked: 4272048
graph: 518, count: 27, tot checked: 4272048
graph: 519, count: 27, tot checked: 4272048
graph: 520, count: 27, tot checked: 4272048
graph: 521, count: 27, tot checked: 4272048
graph: 522, count: 27, tot checked: 4272048
graph: 523, count: 27, tot checked: 4272048
graph: 524, count: 27, tot checked: 4272048
graph: 525, count: 27, tot checked: 4272048
graph: 526, count: 27, tot checked: 4272048
graph: 527, count: 27, tot checked: 4272048
graph: 528, count: 27, tot checked: 4272048
graph: 529, count: 27, tot checked: 4272048
graph: 530, count: 27, tot checked: 4272048
graph: 531, count: 27, tot checked: 4272048
graph: 532, count: 27, tot checked: 4272048
graph: 533, count: 27, tot checked: 4272048
graph: 534, count: 27, tot checked: 4272048
graph: 535, count: 27, tot checked: 4272048
graph: 536, count: 4, tot checked: 4272048
graph: 537, count: 4, tot checked: 4272048
graph: 538, count: 27, tot checked: 4272048
graph: 539, count: 27, tot checked: 4272048
graph: 540, count: 27, tot checked: 4272048
graph: 541, count: 27, tot checked: 4272048
graph: 542, count: 27, tot checked: 4272048
graph: 543, count: 27, tot checked: 4272048
graph: 544, count: 27, tot checked: 4272048
graph: 545, count: 27, tot checked: 4272048
graph: 546, count: 27, tot checked: 4272048
graph: 547, count: 27, tot checked: 4272048
graph: 548, count: 27, tot checked: 4272048
graph: 549, count: 27, tot checked: 4272048
graph: 550, count: 27, tot checked: 4272048
graph: 551, count: 27, tot checked: 4272048
graph: 552, count: 27, tot checked: 4272048
graph: 553, count: 27, tot checked: 4272048
graph: 554, count: 27, tot checked: 4272048
graph: 555, count: 27, tot checked: 4272048
graph: 556, count: 27, tot checked: 4272048
graph: 557, count: 27, tot checked: 4272048
graph: 558, count: 27, tot checked: 4272048
graph: 559, count: 27, tot checked: 4272048
graph: 560, count: 27, tot checked: 4272048
graph: 561, count: 27, tot checked: 4272048
graph: 562, count: 27, tot checked: 4272048
graph: 563, count: 27, tot checked: 4272048
graph: 564, count: 27, tot checked: 4272048
graph: 565, count: 27, tot checked: 4272048
graph: 566, count: 27, tot checked: 4272048
graph: 567, count: 27, tot checked: 4272048
graph: 568, count: 27, tot checked: 4272048
graph: 569, count: 27, tot checked: 4272048
graph: 570, count: 8, tot checked: 4272048
graph: 571, count: 27, tot checked: 4272048
graph: 572, count: 27, tot checked: 4272048
graph: 573, count: 27, tot checked: 4272048
graph: 574, count: 27, tot checked: 4272048
graph: 575, count: 27, tot checked: 4272048
graph: 576, count: 27, tot checked: 4272048
graph: 577, count: 27, tot checked: 4272048
graph: 578, count: 27, tot checked: 4272048
graph: 579, count: 27, tot checked: 4272048
graph: 580, count: 27, tot checked: 4272048
graph: 581, count: 27, tot checked: 4272048
graph: 582, count: 27, tot checked: 4272048
graph: 583, count: 27, tot checked: 4272048
graph: 584, count: 27, tot checked: 4272048
graph: 585, count: 27, tot checked: 4272048
graph: 586, count: 27, tot checked: 4272048
graph: 587, count: 27, tot checked: 4272048
graph: 588, count: 27, tot checked: 4272048
graph: 589, count: 27, tot checked: 4272048
graph: 590, count: 27, tot checked: 4272048
graph: 591, count: 27, tot checked: 4272048
graph: 592, count: 27, tot checked: 4272048
graph: 593, count: 27, tot checked: 4272048
graph: 594, count: 27, tot checked: 4272048
graph: 595, count: 27, tot checked: 4272048
graph: 596, count: 27, tot checked: 4272048
graph: 597, count: 27, tot checked: 4272048
graph: 598, count: 27, tot checked: 4272048
graph: 599, count: 27, tot checked: 4272048
graph: 600, count: 27, tot checked: 4272048
graph: 601, count: 27, tot checked: 4272048
graph: 602, count: 27, tot checked: 4272048
graph: 603, count: 27, tot checked: 4272048
graph: 604, count: 27, tot checked: 4272048
graph: 605, count: 27, tot checked: 4272048
graph: 606, count: 27, tot checked: 4272048
graph: 607, count: 27, tot checked: 4272048
graph: 608, count: 27, tot checked: 4272048
graph: 609, count: 27, tot checked: 4272048
graph: 610, count: 27, tot checked: 4272048
graph: 611, count: 27, tot checked: 4272048
graph: 612, count: 27, tot checked: 4272048
graph: 613, count: 27, tot checked: 4272048
graph: 614, count: 27, tot checked: 4272048
graph: 615, count: 27, tot checked: 4272048
graph: 616, count: 27, tot checked: 4272048
graph: 617, count: 27, tot checked: 4272048
graph: 618, count: 27, tot checked: 4272048
graph: 619, count: 27, tot checked: 4272048
graph: 620, count: 27, tot checked: 4272048
graph: 621, count: 27, tot checked: 4272048
graph: 622, count: 27, tot checked: 4272048
graph: 623, count: 27, tot checked: 4272048
graph: 624, count: 27, tot checked: 4272048
graph: 625, count: 27, tot checked: 4272048
graph: 626, count: 27, tot checked: 4272048
graph: 627, count: 27, tot checked: 4272048
graph: 628, count: 27, tot checked: 4272048
graph: 629, count: 27, tot checked: 4272048
graph: 630, count: 27, tot checked: 4272048
graph: 631, count: 27, tot checked: 4272048
graph: 632, count: 27, tot checked: 4272048
graph: 633, count: 27, tot checked: 4272048
graph: 634, count: 27, tot checked: 4272048
graph: 635, count: 27, tot checked: 4272048
graph: 636, count: 27, tot checked: 4272048
graph: 637, count: 27, tot checked: 4272048
graph: 638, count: 27, tot checked: 4272048
graph: 639, count: 27, tot checked: 4272048
graph: 640, count: 27, tot checked: 4272048
graph: 641, count: 27, tot checked: 4272048
graph: 642, count: 27, tot checked: 4272048
graph: 643, count: 27, tot checked: 4272048
graph: 644, count: 27, tot checked: 4272048
graph: 645, count: 27, tot checked: 4272048
